BEACON,DAS,ROPEN,RBALNO,LST_R_OPEN,RBAL,RLIMIT,TOPEN,TBALNO,MOF,RBAL_LIMIT,EQLIMIT,EQBAL,EQHIGHBAL,EQCURBAL,BCLIMIT,BCBAL,IHIGHBAL,ICURBAL,UNSECLIMIT,UNSECBAL,MTHIGHBAL,MTCURBAL,BCOPEN,YEARS_RES,CHILDREN,EST_INC,HOME_VALUE,HOME_INC,HOME_ED,PRCNT_WHIT,PRCNT_PROF,DOB_MONTH,DOB_YEAR,AGE_INFERR,SEX,MARRIED,BUYER<P>,BCBAL1,BCBAL2
783,67,6,4,5.0,2645.0,25871.0,5,2645.0,228,1,,,,,20848.0,2223.0,,,4400.0,0.0,25050.0,16701.0,,15.0,0,87499.5,63,30,120,83,20,,39.0,57,M,U,1,7.707062655370473,62.0
784,-47,4,2,56.0,494.0,21748.0,2,494.0,404,0,,,,,10000.0,281.0,,,,,,,,12.0,0,62499.5,87,36,120,86,35,,,42,M,U,1,5.641907070938114,19.0
735,251,1,1,21.0,1033.0,2200.0,2,1033.0,217,0,,,,,2200.0,1033.0,,,,,55650.0,54584.0,,2.0,0,62499.5,70,30,120,74,24,,42.0,57,M,M,1,6.9411900550683745,44.0
722,177,3,3,7.0,4316.0,15200.0,5,4379.0,187,1,,,,,15200.0,4316.0,,,,,82200.0,81176.0,,6.0,0,62499.5,97,40,120,86,31,,47.0,42,M,M,1,8.370315995555478,77.0
765,402,7,2,2.0,1277.0,38100.0,6,12893.0,249,0,,,,,25100.0,264.0,19238.0,11576.0,1000.0,0.0,35000.0,20076.0,,2.0,0,62499.5,81,42,120,88,33,,44.0,57,M,M,1,5.579729825986222,18.0
777,142,4,2,16.0,820.0,18000.0,5,1305.0,169,0,,,,,11500.0,688.0,,,,,110000.0,106000.0,,3.0,1,87499.5,117,50,140,96,44,,56.0,42,M,U,1,6.535241271013659,35.0
780,-14,5,4,47.0,1346.0,31076.0,4,1346.0,253,0,,,,,27900.0,1336.0,,,,,,,,15.0,0,87499.5,83,42,120,95,35,,,42,M,U,1,7.198183577101943,50.0
775,181,2,0,6.0,0.0,3800.0,2,5456.0,207,0,,,,,,,16926.0,5456.0,,,79510.0,74279.0,,0.0,0,62499.5,86,34,130,86,47,,45.0,42,M,U,1,,
778,42,5,4,22.0,379.0,20500.0,4,379.0,172,0,,,,,5000.0,125.0,,,8000.0,141.0,,,,6.0,0,87499.5,90,49,120,92,31,,,42,M,M,1,4.836281906951478,10.0
743,161,9,6,24.0,4196.0,29092.0,7,4196.0,96,4,,,,,15674.0,1415.0,,,10300.0,643.0,78317.0,71986.0,,5.0,1,62499.5,70,30,120,74,24,,42.0,57,M,M,1,7.255591274253665,51.0
729,245,11,8,2.0,4040.0,48726.0,11,39590.0,291,0,,,,,28832.0,2482.0,,,7390.0,1428.0,30000.0,21040.0,,14.0,1,62499.5,83,42,120,95,35,,44.0,57,M,M,1,7.817222785508166,65.0
713,410,2,1,17.0,3038.0,6500.0,2,24788.0,236,1,,,24941.0,21750.0,6500.0,3038.0,24941.0,21750.0,,,,,,15.0,1,42999.5,88,31,120,75,35,,,57,M,U,1,8.019283792916793,69.0
768,107,3,2,11.0,300.0,19500.0,3,300.0,229,0,,,,,14500.0,300.0,,,,,109000.0,101000.0,,7.0,1,87499.5,105,45,160,84,56,,47.0,42,M,M,1,5.707110264748875,20.0
785,122,1,0,65.0,0.0,52.0,1,0.0,101,0,,,,,,,,,,,79500.0,74143.0,,6.0,0,62499.5,105,45,160,84,56,,49.0,42,M,M,1,,
782,-74,2,1,56.0,405.0,11150.0,1,405.0,354,0,,,,,8000.0,0.0,,,,,,,,1.0,0,62499.5,105,45,160,84,56,,35.0,57,M,U,1,0.0,0.0
753,334,3,2,11.0,171.0,6500.0,2,171.0,38,0,,,,,,,,,6000.0,171.0,,,,0.0,0,62499.5,105,45,160,84,56,,,42,M,U,1,,
719,229,4,3,15.0,13212.0,28894.0,5,29926.0,283,2,,,,,21500.0,9208.0,17168.0,16714.0,7394.0,4004.0,92000.0,90559.0,,4.0,1,87499.5,98,49,140,95,48,,,42,M,M,1,9.127936545721367,89.0
766,345,3,1,6.0,25.0,10000.0,2,25.0,79,0,,,,,1500.0,0.0,,,,,69700.0,62133.0,,3.0,0,42999.5,108,37,140,96,49,,68.0,35,M,U,1,0.0,0.0
745,296,3,1,8.0,529.0,13500.0,6,7182.0,199,0,,,,,7500.0,0.0,20812.0,6621.0,6000.0,529.0,125000.0,123000.0,,4.0,1,62499.5,89,48,140,98,42,,57.0,42,M,M,1,0.0,0.0
774,110,3,1,4.0,130.0,7920.0,1,130.0,48,0,,,,,,,,,7000.0,130.0,,,,14.0,0,42999.5,99,48,120,95,33,,,42,M,M,1,,
755,155,5,3,51.0,2841.0,15252.0,5,2841.0,229,1,,,,,11000.0,2813.0,,,,,58000.0,49960.0,,13.0,0,87499.5,105,66,160,98,59,,45.0,42,M,M,1,7.942362237674335,68.0
736,138,4,3,8.0,2423.0,9507.0,4,13433.0,298,1,,,,,7407.0,2380.0,13211.0,11010.0,,,,,,5.0,1,62499.5,108,37,140,96,49,,48.0,42,M,M,1,7.7752758464868625,64.0
707,250,7,5,10.0,11754.0,19049.0,6,13556.0,102,4,,,,,12900.0,6979.0,10052.0,1802.0,3973.0,3862.0,,,,2.0,0,62499.5,71,36,150,75,45,,63.0,35,M,U,1,8.850804195756417,86.0
728,272,3,3,20.0,3833.0,16350.0,3,3833.0,58,1,,,,,2600.0,649.0,,,13750.0,3184.0,,,,1.0,0,42999.5,64,36,140,79,45,,69.0,35,F,U,1,6.476972362889683,33.0
712,244,3,2,18.0,11880.0,23283.0,3,11880.0,192,2,,,,,12283.0,11880.0,,,,,95000.0,46142.0,,9.0,0,87499.5,208,84,160,96,41,,43.0,57,M,M,1,9.382695764458287,91.0
748,192,2,1,13.0,11895.0,14200.0,2,11895.0,249,1,,,,,,,,,13400.0,11895.0,35900.0,21636.0,,15.0,0,62499.5,160,45,150,84,44,,39.0,57,M,M,1,,
724,382,4,2,4.0,830.0,9901.0,2,830.0,58,0,,,,,7101.0,75.0,,,2200.0,755.0,,,,11.0,0,87499.5,85,49,160,89,55,,,42,M,M,1,4.330733340286331,7.0
732,129,6,1,6.0,500.0,14460.0,4,4636.0,240,1,,,,,10000.0,0.0,18399.0,4136.0,,,194000.0,189000.0,,3.0,0,87499.5,224,86,160,97,59,,51.0,42,M,M,1,0.0,0.0
768,366,2,1,16.0,358.0,6903.0,2,358.0,46,0,,,,,6903.0,358.0,,,,,118000.0,112000.0,,2.0,0,62499.5,211,82,160,96,56,,41.0,57,M,U,1,5.883322388488279,22.0
781,180,4,1,8.0,704.0,11853.0,1,704.0,124,0,,,,,7500.0,0.0,,,4315.0,704.0,,,,1.0,0,42999.5,70,28,140,78,39,,62.0,35,F,U,1,0.0,0.0
741,173,4,3,8.0,536.0,9613.0,4,5336.0,119,0,,,,,9000.0,517.0,,,,,,,,1.0,0,62499.5,71,36,150,75,45,,63.0,35,F,U,1,6.249975242259483,29.0
715,381,7,4,6.0,5039.0,22848.0,9,8374.0,197,0,,,,,5534.0,993.0,7085.0,2952.0,8600.0,4041.0,202000.0,196000.0,,2.0,1,87499.5,160,45,150,84,44,,55.0,42,M,M,1,6.901737206656574,43.0
713,392,5,4,8.0,7011.0,14457.0,6,7029.0,141,1,,,,,9000.0,6317.0,15403.0,0.0,,,121000.0,119000.0,,5.0,0,87499.5,160,45,150,84,44,,,57,M,M,1,8.75115798136203,85.0
747,391,3,1,6.0,615.0,23000.0,3,10527.0,91,0,,,,,23000.0,615.0,11958.0,9912.0,,,59800.0,57095.0,,4.0,0,42999.5,86,37,140,84,38,,38.0,57,M,U,1,6.423246963533519,32.0
774,36,1,0,3.0,0.0,3600.0,0,0.0,146,0,,,,,,,,,,,,,,2.0,0,42999.5,80,31,140,66,33,,56.0,42,M,M,1,,
700,263,5,5,4.0,17742.0,23222.0,6,24865.0,122,4,,,,,16385.0,14178.0,7650.0,7123.0,6837.0,3564.0,,,,2.0,0,87499.5,95,35,130,83,36,,52.0,42,F,U,1,9.559517275737559,92.0
770,-2,4,1,36.0,1750.0,12934.0,6,3609.0,264,0,,,75600.0,74352.0,9044.0,1750.0,3000.0,1778.0,,,65812.0,63441.0,,1.0,0,62499.5,0,0,0,0,0,,49.0,42,M,M,1,7.467942332285852,56.0
701,202,6,3,5.0,5814.0,17762.0,4,5814.0,79,2,,,,,7500.0,176.0,,,2047.0,2047.0,68700.0,65598.0,,2.0,0,62499.5,86,37,140,84,38,,54.0,42,U,U,1,5.176149732573829,13.0
775,102,4,3,73.0,146.0,12906.0,4,146.0,95,0,,,,,10600.0,103.0,,,974.0,43.0,,,,5.0,1,62499.5,80,35,140,53,27,,62.0,35,F,U,1,4.6443908991413725,9.0
710,429,2,1,9.0,353.0,727.0,2,353.0,23,1,,,,,,,,,187.0,0.0,45500.0,44263.0,,2.0,0,42999.5,63,33,140,60,50,,,42,M,U,1,,
719,263,2,1,6.0,35.0,680.0,2,90.0,137,0,,,,,,,,,,,,,,4.0,0,62499.5,87,48,140,86,43,,,42,M,U,1,,
726,406,6,2,2.0,6791.0,36227.0,3,6791.0,137,1,,,,,18953.0,6783.0,,,17274.0,8.0,68465.0,67537.0,,3.0,0,62499.5,93,46,140,87,34,,,42,M,M,1,8.822322177471738,86.0
722,185,2,1,14.0,6871.0,9496.0,3,20930.0,158,1,,,,,9496.0,6871.0,20085.0,14059.0,,,65500.0,61069.0,,11.0,0,87499.5,95,56,140,85,43,,,42,M,U,1,8.835210463664092,86.0
778,-44,4,2,25.0,5098.0,23673.0,3,5098.0,213,1,,,,,14500.0,228.0,,,9118.0,4870.0,34600.0,24352.0,,14.0,0,87499.5,85,34,120,75,23,,42.0,57,M,M,1,5.43372200355424,16.0
703,293,6,6,26.0,9633.0,11884.0,6,9633.0,197,6,,,,,7684.0,5909.0,8011.0,0.0,2500.0,2627.0,,,,8.0,0,42999.5,0,0,0,0,0,,36.0,57,M,U,1,8.684401110400144,84.0
737,354,2,2,4.0,1066.0,5725.0,3,1066.0,349,1,,,,,725.0,689.0,,,5000.0,377.0,,,,5.0,0,42999.5,82,42,140,79,35,,,42,M,U,1,6.536691597591305,35.0
770,98,9,4,12.0,3504.0,23564.0,5,8374.0,291,0,,,,,10422.0,3256.0,,,10000.0,0.0,,,,13.0,0,87499.5,93,46,140,87,34,,41.0,57,M,M,1,8.088561805276234,71.0
717,421,13,9,6.0,1788.0,35894.0,10,1788.0,63,0,,,,,19488.0,1353.0,,,7000.0,127.0,61242.0,56199.0,,1.0,0,62499.5,87,48,140,86,43,,47.0,42,M,M,1,7.21081845347222,50.0
786,49,3,3,41.0,737.0,17000.0,3,737.0,186,0,,,,,12000.0,335.0,,,5000.0,402.0,,,,2.0,1,62499.5,171,67,140,98,44,,61.0,35,M,M,1,5.817111159963204,21.0
725,291,6,4,7.0,2739.0,23135.0,5,2739.0,150,0,,,,,16499.0,2739.0,,,3000.0,0.0,,,,,0,62499.5,117,54,140,97,44,,46.0,42,F,U,1,7.9157131993821155,67.0
766,135,5,1,15.0,1639.0,26000.0,2,1639.0,123,0,,,,,20500.0,0.0,,,5500.0,1639.0,160000.0,157000.0,,0.0,0,87499.5,117,54,140,97,44,,46.0,42,M,U,1,0.0,0.0
724,254,3,2,5.0,9436.0,19350.0,5,106487.0,220,1,,,,,14350.0,9350.0,31096.0,10120.0,5000.0,86.0,,,,2.0,0,42999.5,88,39,120,98,25,,54.0,42,M,U,1,9.143238568435446,89.0
711,271,2,2,12.0,4551.0,5513.0,4,21701.0,98,2,,,,,,,28643.0,17150.0,3403.0,2964.0,,,,1.0,0,42999.5,67,23,120,86,18,,64.0,35,M,M,1,,
714,418,7,5,13.0,1638.0,20259.0,11,45258.0,157,0,,,,,9359.0,498.0,55627.0,43598.0,5000.0,0.0,141000.0,139000.0,,3.0,0,62499.5,90,40,120,96,28,,56.0,42,M,U,1,6.212606095751519,28.0
737,483,4,2,2.0,401.0,12215.0,6,23854.0,278,0,,,,,7215.0,224.0,26550.0,16479.0,5000.0,177.0,,,,15.0,0,62499.5,95,45,120,98,31,,46.0,42,M,M,1,5.41610040220442,16.0
747,145,1,1,67.0,3713.0,7500.0,3,17636.0,133,0,,,,,7500.0,3713.0,,,,,78680.0,76997.0,,5.0,0,87499.5,85,45,120,98,30,,62.0,35,M,M,1,8.219864741912652,74.0
758,282,3,3,4.0,2001.0,6996.0,4,2001.0,262,1,,,,,3476.0,663.0,,,,,58500.0,53834.0,,2.0,0,87499.5,136,63,150,95,42,,48.0,42,M,M,1,6.498282149476434,34.0
717,229,5,5,99.0,20446.0,28241.0,7,52491.0,254,4,,,,,8333.0,7740.0,,,9700.0,5465.0,,,,3.0,0,42999.5,71,33,120,92,17,,50.0,42,F,U,1,8.954286157204713,88.0
701,290,4,3,7.0,12898.0,25299.0,9,52053.0,157,2,,,,,6000.0,584.0,36077.0,25274.0,19002.0,12314.0,,,,8.0,0,87499.5,105,57,150,93,48,,47.0,42,M,M,1,6.371611847231857,31.0
729,65,7,3,5.0,6949.0,22935.0,8,19955.0,201,1,,,,,15215.0,6949.0,20620.0,12873.0,,,55000.0,52757.0,,9.0,0,62499.5,90,42,120,95,30,,53.0,42,M,M,1,8.846496938558838,86.0
711,424,8,5,4.0,2170.0,20440.0,5,2170.0,128,1,,,,,17000.0,1397.0,,,540.0,84.0,,,,10.0,0,87499.5,105,57,150,93,48,,64.0,35,M,M,1,7.242797922793756,51.0
767,170,3,1,8.0,185.0,5469.0,4,3978.0,95,0,,,,,2500.0,185.0,9000.0,3767.0,,,,,,5.0,0,42999.5,105,57,150,93,48,,,42,M,U,1,5.225746673713202,14.0
738,352,5,3,7.0,15527.0,26712.0,5,15749.0,292,2,,,,,6452.0,6196.0,,,18639.0,9306.0,71100.0,63359.0,,8.0,0,62499.5,105,57,150,93,48,,49.0,42,M,U,1,8.731820582962108,84.0
713,378,6,4,3.0,2228.0,14609.0,13,26986.0,120,1,,,,,7500.0,736.0,4350.0,3394.0,501.0,118.0,70116.0,68929.0,,5.0,1,62499.5,105,57,150,93,48,,65.0,35,M,M,1,6.602587892189336,36.0
772,16,2,1,9.0,518.0,14000.0,2,518.0,108,0,,,,,,,,,,,69442.0,65422.0,,3.0,0,62499.5,84,38,120,98,27,,30.0,57,M,U,1,,
695,287,4,3,25.0,7630.0,10000.0,7,28642.0,112,3,,,,,9000.0,7346.0,27131.0,21012.0,1000.0,284.0,75500.0,70518.0,,5.0,0,62499.5,84,38,120,98,27,,66.0,35,M,U,1,8.902047345620277,87.0
725,18,1,1,10.0,3427.0,6000.0,2,3427.0,250,1,,,,,6000.0,3427.0,,,,,36800.0,34124.0,,15.0,0,62499.5,71,37,120,99,16,,35.0,57,M,M,1,8.13973227971767,72.0
761,133,2,1,24.0,4419.0,13000.0,1,4419.0,110,1,,,,,8000.0,4419.0,,,,,,,,0.0,0,62499.5,0,0,0,0,0,,,42,M,U,1,8.393894975071744,78.0
770,285,2,1,23.0,1081.0,10000.0,1,1081.0,104,0,,,,,10000.0,1081.0,,,,,,,,3.0,1,62499.5,90,42,120,95,30,,,42,M,U,1,6.9865664594064265,45.0
768,3,1,0,15.0,0.0,5000.0,1,9156.0,328,0,,,,,5000.0,0.0,,,,,,,,9.0,0,62499.5,71,33,120,92,17,,31.0,57,M,U,1,0.0,0.0
730,207,6,5,7.0,16201.0,21326.0,6,16201.0,213,4,,,,,17229.0,12762.0,,,4000.0,3429.0,75809.0,73131.0,,1.0,0,87499.5,88,48,120,99,35,,37.0,57,M,U,1,9.45430563898269,91.0
767,68,2,0,80.0,0.0,11048.0,1,10076.0,396,0,,,,,2048.0,0.0,10502.0,10076.0,9000.0,0.0,,,,9.0,0,62499.5,71,33,120,92,17,,31.0,57,M,U,1,0.0,0.0
786,-30,2,1,12.0,16.0,5800.0,3,89.0,157,0,,,,,2200.0,16.0,,,,,,,,3.0,1,87499.5,85,45,120,98,30,,,42,M,M,1,2.833213344056216,2.0
741,103,2,2,39.0,985.0,13300.0,4,3690.0,103,0,,,,,3700.0,499.0,3144.0,2705.0,,,65000.0,58838.0,,15.0,1,62499.5,59,26,120,98,19,,65.0,35,M,M,1,6.214608098422191,28.0
718,260,6,6,3.0,7994.0,33410.0,8,19428.0,188,0,,,,,20800.0,4075.0,32296.0,11434.0,1000.0,473.0,,,,13.0,0,62499.5,45,27,110,98,11,,42.0,57,M,U,1,8.312871394342615,76.0
778,159,2,1,5.0,156.0,5700.0,2,156.0,5,0,,,,,5000.0,156.0,,,,,81000.0,70379.0,,5.0,0,42999.5,54,22,120,98,9,,52.0,42,M,U,1,5.056245805348308,12.0
721,271,1,1,7.0,511.0,1788.0,2,1913.0,63,0,,,,,1788.0,511.0,4207.0,1402.0,,,,,,6.0,0,42999.5,59,26,120,98,19,,70.0,35,M,M,1,6.238324625039508,28.0
748,310,3,1,3.0,224.0,15638.0,2,6844.0,57,0,,,,,8138.0,0.0,11642.0,6620.0,7500.0,224.0,,,,1.0,0,42999.5,45,27,110,98,11,,,42,M,U,1,0.0,0.0
774,38,2,1,60.0,51.0,11700.0,2,3269.0,85,0,,,,,11700.0,51.0,5090.0,3218.0,,,,,,15.0,0,42999.5,50,24,120,60,16,,35.0,57,M,M,1,3.9512437185814275,5.0
767,120,1,1,86.0,398.0,474.0,1,398.0,7,1,,,,,,,,,,,,,,4.0,1,42999.5,52,24,120,96,21,,65.0,35,M,U,1,,
754,237,2,1,2.0,2493.0,10740.0,3,12468.0,240,0,,,,,7500.0,2493.0,19346.0,9975.0,,,56000.0,52762.0,,1.0,0,87499.5,78,33,120,95,23,,42.0,57,M,M,1,7.821643126239982,65.0
719,418,5,3,7.0,8996.0,21236.0,6,24260.0,136,1,,,,,3400.0,0.0,27423.0,15264.0,16540.0,8996.0,82650.0,79328.0,,2.0,0,42999.5,91,41,120,98,30,,,42,M,M,1,0.0,0.0
726,202,3,2,14.0,748.0,8500.0,6,20986.0,98,0,,,,,,,24887.0,20133.0,4900.0,748.0,74500.0,73798.0,,0.0,0,62499.5,78,33,120,95,23,,63.0,35,M,U,1,,
729,264,1,0,3.0,0.0,200.0,1,0.0,84,0,,,,,,,16762.0,15048.0,,,16762.0,15048.0,,6.0,0,42999.5,58,19,110,95,18,,,42,F,U,1,,
708,211,6,4,2.0,4458.0,13960.0,5,4458.0,95,2,,,,,9450.0,3208.0,,,1500.0,1238.0,55000.0,34545.0,,6.0,0,42999.5,80,35,120,99,22,,,57,M,U,1,8.073714641109857,70.0
774,33,2,1,36.0,897.0,9200.0,1,897.0,142,0,,,,,9200.0,897.0,,,,,,,,2.0,0,87499.5,78,33,120,95,23,,54.0,42,M,M,1,6.8001700683022,40.0
754,223,0,0,,,,3,11012.0,151,0,,,,,,,11959.0,10962.0,,,119000.0,111000.0,,2.0,0,62499.5,91,41,120,98,30,,60.0,35,M,M,1,,
731,428,4,2,18.0,1370.0,15532.0,9,367213.0,239,0,,,,,3000.0,0.0,59787.0,38993.0,8500.0,642.0,,,,1.0,0,62499.5,78,33,120,95,23,,46.0,42,M,U,1,0.0,0.0
712,333,4,3,12.0,10815.0,11692.0,4,19126.0,85,3,,,,,6500.0,6016.0,11019.0,8311.0,5100.0,4799.0,,,,11.0,0,62499.5,78,33,120,95,23,,44.0,57,M,U,1,8.702344075220351,84.0
775,152,5,1,9.0,7.0,13115.0,1,7.0,73,0,,,,,5000.0,7.0,,,5000.0,0.0,,,,15.0,0,42999.5,78,33,120,95,23,,64.0,35,M,U,1,2.0794415416798357,1.0
737,76,4,4,23.0,5394.0,18286.0,6,30114.0,130,1,,,,,18286.0,5394.0,7483.0,5758.0,,,,,,10.0,0,42999.5,55,17,110,87,14,,48.0,42,M,U,1,8.593227877692234,82.0
769,117,1,0,99.0,0.0,6700.0,3,9334.0,177,0,,,,,,,10075.0,9270.0,6700.0,0.0,72000.0,71093.0,,,1,62499.5,0,0,0,0,0,,57.0,42,M,M,1,,
